Date,Name,,Ratings,Dugan Ratings,Name,Year,Name,Review,Watched Date,Name,Liked
2025-10-03,Serpico,,4,8,Star Wars: Episode III – Revenge of the Sith,2005,,,,,
2025-10-03,Klute,,2,4,Star Wars: Episode I – The Phantom Menace,1999,,,,,
2025-10-06,Duck Soup,,3,6,Star Wars: Episode II – Attack of the Clones,2002,,,,,
2025-10-07,Trick 'r Treat,,3.5,7,Do the Right Thing,1989,,,,,
2025-10-08,The Night Evelyn Came Out of the Grave,,0.5,1,Miss Peregrine's Home for Peculiar Children,2016,,,,,
2025-10-09,The Texas Chain Saw Massacre,,3.5,7,Turbo,2013,,,,,
2025-10-11,You're Next,,3.5,7,Kill Bill: Vol. 1,2003,,,,,
2025-10-12,Scream,,4,8,Percy Jackson & the Olympians: The Lightning Thief,2010,,,,,
2025-10-14,The Descent,,3.5,7,Batman & Robin,1997,,,,,
2025-10-14,Over the Garden Wall,,4,8,The Amazing Spider-Man,2012,,,,,
2025-10-14,The Stepford Wives,,2,4,The Amazing Spider-Man 2,2014,,,,,
2025-10-15,The Fly,,4.5,9,Easy A,2010,,,,,
2025-10-16,The Substance,,3.5,7,Zombieland,2009,,,,,
2025-10-16,Death of a Unicorn,,1.5,3,The Interview,2014,,,,,
2025-10-17,Midsommar,,3.5,7,The House Bunny,2008,,,,,
2025-10-19,Manhunter,,4,8,The Dictator,2012,,,,,
2025-10-21,It's What's Inside,,3.5,7,Scary Movie,2000,,,,,
2025-10-22,Bram Stoker's Dracula,,2.5,5,Cloudy with a Chance of Meatballs,2009,,,,,
2025-10-22,Scary Godmother: Halloween Spooktakular,,3.5,7,Scary Movie 2,2001,,,,,
2025-10-23,Children Shouldn't Play with Dead Things,,1,2,Scary Movie 3,2003,,,,,
2025-10-24,Alien,,4.5,9,Cloudy with a Chance of Meatballs 2,2013,,,,,
2025-10-25,Chainsaw Man – The Movie: Reze Arc,,4,8,Election,1999,,,,,
2025-10-25,Braindead,,3,6,Ice Age: Continental Drift,2012,,,,,
