Date,Name,Ratings,Dugan Ratings,Name.1,Year,Name.2,Review,Name.3,Liked
06/20/2023,(500) Days of Summer,4.0,8.0,(500) Days of Summer,2009,10 Things I Hate About You,That was a really confusing way for Joey to gift Kat a guitar,(500) Days of Summer,Yes
07/08/2025,10 Things I Hate About You,3.5,7.0,10 Things I Hate About You,1999,12 Angry Men,"Ranking Angry Men:
 #7 No one cares about your baseball game, did help with the fan though 
#10 Racist :(, was the reason for the best scene though 
#1 Ain’t no way you keep everything cordial but have no talking points the entire time??
#2 Gives sidekick energy, called racist man friend 
#12 Loves talking about his corporate job, has a nice story arch though
#5 Mid tier, gonna be the only one I forget from this movie 
#3 Maybe beats son :(, but has the best performance by far (So angry) 
#8 Observant about glasses, very cute grandpa 
#7 Likes to say “I don’t know”, but is the reason for the movie 
#6 Want to grab a beer with him, has my favorite line of the movie 
#4 Maybe sweats?, convinced this is how my rationale would go if I was there 
#11 goated, tells baseball man he sucks :)",10 Things I Hate About You,Yes
02/21/2025,Memento,4.5,9.0,Epic,2013,Thief,What a main character. Absolutely carries this story as the worst kind of likable protagonist. Could see this rating easily going up with a rewatch,,
03/09/2025,Mickey 17,2.5,5.0,Eternal Sunshine of the Spotless Mind,2004,Thriller: A Cruel Picture,Tarantino is a freak for requesting Daryl Hannah watch this for her role,,
09/15/2025,"Mickey, Donald, Goofy: The Three Musketeers",3.0,6.0,Eurovision Song Contest: The Story of Fire Saga,2020,Thunderbolts*,No wonder Sam wants to make a different team this one almost lost to a wall,,
10/17/2025,Midsommar,3.5,7.0,Evan Almighty,2007,Tokyo Godfathers,"This has no right having that good of a final chase out of nowhere, I was stressing over silly dramedy all of a sudden. Also probably not a Christmas movie? 50/50 depends on the day",,
12/24/2025,Miracle on 34th Street,3.0,6.0,Everybody Wants Some!!,2016,Tombstone,Love the Cowboy killing Highlight reels,,
06/12/2023,"Monsters, Inc.",3.5,7.0,Everything Everywhere All at Once,2022,Train Dreams,"Best looking movie of 2025? Probably. Also depressing, was not ready to get hit in the chest like that",,
05/14/2025,Monty Python's The Meaning of Life,2.5,5.0,F1,2025,Train to Busan,"Seriously spoiler ahead
.
.
.
.
.
.
.
.
.
.
.
.
.
.
Husband sacrifice >>> dad sacrifice. Only way the dad’s death is better is cause the daughter is giving the crying performances I’ve seen in so so long",,
01/12/2026,Moonlight,3.5,7.0,Face/Off,1997,Trainspotting,"Took about 3 minutes to turn on subtitles, I think Spud made up his own language",,
11/30/2021,Moonrise Kingdom,3.0,6.0,Fantastic Four,2015,Trap,"Gay blonde Kid Cudi isn’t real, he can’t hurt you. Gay blonde Kid Cudi:",,
06/20/2023,Mr. Right,3.5,7.0,Fantastic Four,2005,Trick 'r Treat,"One of the greatest movie costumes ever created, idk how more kids don’t dress up as Sam",,
05/16/2024,Murder Mystery,1.5,3.0,Fantastic Four: Rise of the Silver Surfer,2007,Upgrade,Not corny AI bad movie?? 2018>> 2024,,
07/16/2025,My Big Fat Greek Wedding,3.0,6.0,Fantastic Mr. Fox,2009,Valley Girl,"https://open.spotify.com/playlist/75Wfi8Lt8KxzpDbpBjFUN2?si=ZHGI8oxMQRGWRBvigm-DDA&pi=go0PlPLWQmm4V

Here’s the soundtrack, saved you 99 minutes. You’re welcome",,
05/16/2025,My Neighbor Totoro,5.0,10.0,Fargo,1996,Varsity Blues,A final act so much better you forget how bad of a raunchy high school comedy this tried to be,,
09/23/2025,My Neighbors the Yamadas,2.0,4.0,Fast & Furious Presents: Hobbs & Shaw,2019,Vertigo,"One of the best looking movies I’ve ever seen. Never wanted to go to San Fran more, hang every third shot in a museum",,
07/16/2025,"Mystery, Alaska",2.5,5.0,Fast Five,2011,Wake Up Dead Man,Weirdly one of the most festive feeling things I’ve seen in December this year? I have no idea why,,
08/27/2024,Nazis at the Center of the Earth,1.0,2.0,Fast Times at Ridgemont High,1982,Wallace & Gromit: Vengeance Most Fowl,Train chase may have the greatest establishing shot for no reason,,
09/12/2025,Network,4.5,9.0,Fences,2016,Warfare,Between this and Marty Supreme I’m way too stressed going into 2026,,
03/11/2025,Nickel Boys,3.5,7.0,Fight Club,1999,Weapons,The layout of the 2nd floor in the house was the real MVP,,
06/20/2023,No Sudden Move,2.0,4.0,Finding Dory,2016,Whisper of the Heart,Did the Leo pointing at the screen when Lofi Girl showed up,,
06/20/2023,No Time to Die,3.0,6.0,Finding Nemo,2003,Who Killed Captain Alex?,"1 of 1 movie, nothing else will ever have dubbing that skips dialogue and hypes up action scenes instead",,
01/04/2025,Nosferatu,3.5,7.0,Five Corners,1987,Wicked,Was scared to revisit but that 160 minute runtime flies by. Optimistic for part 2 tomorrow,,
01/22/2025,Number 24,4.0,8.0,Five Nights at Freddy's,2023,Wicked,This really puts into context the sins of Emilia Perez,,
04/24/2025,Nurse Sherri,1.0,2.0,Flesh Gordon,1974,Wicked: For Good,"Never thought I’d be campaigning for Ariana Grande to win an Oscar, but here we are. More than anything she embarrassed Michelle Yeoh’s sleepy ah performance",,
03/27/2024,Ocean's Eleven,4.5,9.0,Flora and Son,2023,Wind River,Disappointed with myself that I forgot to log this one,,
06/26/2025,Office Space,3.5,7.0,Flow,2024,Wolfs,"They almost died cause of a dance circle, wish I was making that up",,
08/04/2021,Old,2.0,4.0,Forbidden World,1982,Wolfwalkers,Best Irish movie since Sing Street,,
02/16/2025,Oldboy,4.0,8.0,Forrest Gump,1994,Woman of the Hour,Tony Hale’s humor can’t even be stopped from a disturbing serial killer movie,,
07/27/2023,On the Waterfront,3.0,6.0,Four Christmases,2008,Xtro,Some leftover alien script and family drama script got morphed together,,
06/29/2025,Once Upon a Time... in Hollywood,2.5,5.0,Fractured,2019,Yor: The Hunter from the Future,I feel like Dom watching this many bad movies,,
10/02/2025,One Battle After Another,4.5,9.0,Frankenstein,2025,You're Next,"I’m been itching for some good, bloody kills. Made a bit wonky but a fun time",,
07/27/2023,Oppenheimer,5.0,10.0,Frankenweenie,2012,Your Lucky Day,If the first hour was cut off it would be a very interesting short film,,
06/09/2025,Ordinary People,4.0,8.0,Frankie Freako,2024,Zodiac,Should’ve arrested him based off watch alone,,
10/14/2025,Over the Garden Wall,4.0,8.0,Freaks,1932,Zootopia 2,Wouldn’t be mad about 3 more of these if they’re all gonna be this funny,,
02/05/2024,Paddington,3.5,7.0,Freaky Friday,2003,,,,
04/27/2021,Palm Springs,3.0,6.0,Freaky Tales,2024,,,,
09/02/2025,Paper Moon,3.5,7.0,Free Guy,2021,,,,
06/12/2023,Parasite,3.0,6.0,Friends: The Reunion,2021,,,,
06/12/2025,Paths of Glory,4.0,8.0,Fritz the Cat,1972,,,,
09/11/2025,Phantasm,2.0,4.0,Frogs,1972,,,,
06/20/2023,Pig,3.5,7.0,From Dusk Till Dawn,1996,,,,
06/20/2023,Pokémon Detective Pikachu,2.5,5.0,From Up on Poppy Hill,2011,,,,
01/06/2026,Pom Poko,3.0,6.0,Frozen,2013,,,,
08/19/2025,Ponyo,3.0,6.0,Frozen II,2019,,,,
05/15/2025,Poor Things,3.5,7.0,Full Metal Jacket,1987,,,,
11/13/2025,Popstar: Never Stop Never Stopping,3.0,6.0,Funny Pages,2022,,,,
12/17/2024,Porco Rosso,4.5,9.0,Furiosa: A Mad Max Saga,2024,,,,
06/20/2023,Possessor,1.0,2.0,G-Force,2009,,,,
04/27/2021,Princess Mononoke,2.0,4.0,G.I. Joe: The Rise of Cobra,2009,,,,
06/20/2023,Project Power,2.0,4.0,Game Night,2018,,,,
06/06/2025,Prom Night,2.5,5.0,"Game Over, Man!",2018,,,,
04/27/2021,Pulp Fiction,4.5,9.0,Gerald's Game,2017,,,,
08/22/2025,Punch-Drunk Love,4.0,8.0,Get Hard,2015,,,,
06/12/2023,Puss in Boots: The Last Wish,4.0,8.0,Get Out,2017,,,,
06/02/2025,Raging Bull,4.0,8.0,Ghostbusters,1984,,,,
06/20/2023,Rain Man,4.0,8.0,Gladiator,2000,,,,
05/18/2025,Ran,3.5,7.0,Glass,2019,,,,
01/31/2024,Rango,4.5,9.0,Glass Onion,2022,,,,
04/27/2021,Ratatouille,3.0,6.0,Gnomeo & Juliet,2011,,,,
06/20/2023,Raya and the Last Dragon,3.0,6.0,Go,1999,,,,
01/09/2026,Rear Window,4.0,8.0,God Help the Girl,2014,,,,
09/09/2024,Rebel Ridge,4.5,9.0,Godzilla vs. Kong,2021,,,,
11/19/2024,Red One,2.0,4.0,Gone Girl,2014,,,,
06/20/2023,Red Rocket,2.0,4.0,"Good Morning, Vietnam",1987,,,,
06/18/2023,Reservoir Dogs,3.0,6.0,Good Will Hunting,1997,,,,
06/20/2023,Ride the Eagle,1.5,3.0,GoodFellas,1990,,,,
06/20/2023,Riders of Justice,4.5,9.0,Grandma Got Run Over by a Reindeer,2000,,,,
04/27/2021,Rogue One: A Star Wars Story,3.5,7.0,Grave of the Fireflies,1988,,,,
10/17/2024,Room,4.0,8.0,Gravity,2013,,,,
10/31/2025,Rosemary's Baby,4.5,9.0,Grease,1978,,,,
06/20/2023,Rushmore,3.5,7.0,Greedy People,2024,,,,
07/24/2025,Safe Men,2.0,4.0,Green Lantern,2011,,,,
06/20/2023,Safety Not Guaranteed,2.0,4.0,Green Room,2015,,,,
