Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2026-01-09,Daisies,1966,https://boxd.it/cwteG3,0.5,,,2026-01-08
2026-01-09,Rear Window,1954,https://boxd.it/cxemPr,4,,,2026-01-08
2026-01-11,Zootopia 2,2025,https://boxd.it/czjIIP,3.5,,,2026-01-10
2026-01-12,Moonlight,2016,https://boxd.it/cB4svj,3.5,,,2026-01-11
2026-01-13,Jay Kelly,2025,https://boxd.it/cBzKvt,4,,,2026-01-12
2026-01-14,Blue Moon,2025,https://boxd.it/cDb8mX,2,,,2026-01-13
2026-01-15,Companion,2025,https://boxd.it/cE7wHL,3.5,,,2026-01-14
2026-01-16,Dazed and Confused,1993,https://boxd.it/cF2pv3,3.5,,,2026-01-15
2026-01-20,The Rip,2026,https://boxd.it/cJCV5T,1.5,,,2026-01-19
2026-01-21,Beast of War,2025,https://boxd.it/cKxwyv,2,,,2026-01-20
2026-01-22,Freaky Tales,2024,https://boxd.it/cLqQZL,3,,,2026-01-21
2026-01-23,Sentimental Value,2025,https://boxd.it/cLIqW3,4,,,2026-01-22
2026-01-23,If I Had Legs I'd Kick You,2025,https://boxd.it/cM5VpP,4,,,2026-01-22
2026-01-23,Ballad of a Small Player,2025,https://boxd.it/cMjcGJ,1,,,2026-01-22
2026-01-25,Elio,2025,https://boxd.it/cNF18J,3,,,2026-01-24
2026-01-25,Jojo Rabbit,2019,https://boxd.it/cOA0kN,5,Yes,,2026-01-24
2026-01-26,Wedding Crashers,2005,https://boxd.it/cP0roJ,3.5,Yes,,2026-01-25
2026-01-26,Harry Potter and the Goblet of Fire,2005,https://boxd.it/cPFFQz,4,Yes,,2026-01-25
2026-01-28,KPop Demon Hunters,2025,https://boxd.it/cRWR2j,3.5,,,2026-01-27
2026-01-29,Hamnet,2025,https://boxd.it/cSGNqj,3,,,2026-01-28
2026-01-29,Bob Trevino Likes It,2024,https://boxd.it/cSVLtl,4,,,2026-01-28
2026-01-30,Song Sung Blue,2025,https://boxd.it/cTsiNn,2.5,,,2026-01-29
2026-01-30,Sinners,2025,https://boxd.it/cTSlR5,3.5,Yes,,2026-01-30
2026-02-05,Thief,1981,https://boxd.it/cZl6UV,3.5,,,2026-02-04
2026-02-05,The Return of the Texas Chainsaw Massacre,1995,https://boxd.it/cZObRZ,1.5,,,2026-02-04
2026-02-06,The Pursuit of Happyness,2006,https://boxd.it/d0uuc1,4.5,,,2026-02-05
