Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-06-02,Raging Bull,1980,https://boxd.it/9Sz7cV,4,,Jail scene is so good you almost feel bad,,2025-06-01
2025-06-02,Terror Train,1980,https://boxd.it/9SDnF3,1.5,,This was butt,,2025-06-02
2025-06-03,The Tune,1992,https://boxd.it/9SVQjV,3,,That lovesick hotel song is a banger. Could’ve been 50 minutes instead but a fun watch,,2025-06-02
2025-06-03,American Gigolo,1980,https://boxd.it/9Te9Fn,3.5,,Last Act of this movie loses steam so quick for so much good setup. Also you see Richard’s Gere shift,,2025-06-03
2025-06-04,Cha Cha Real Smooth,2022,https://boxd.it/9TOHTZ,4.5,,Somebody recommend a bad white boy coming of age movie cause goddamn they can’t keep getting away with it,,2025-06-04
2025-06-05,Smiley Face,2007,https://boxd.it/9UmQER,3.5,,"Anna Faris should’ve been nominated and Steve does fuck skulls, can’t change my mind on either",,2025-06-05
2025-06-06,Prom Night,1980,https://boxd.it/9UPFcb,2.5,,I guess they cut all the scenes where Leslie Nielsen makes 50 puns?,,2025-06-05
2025-06-06,Mad God,2021,https://boxd.it/9USnKb,4.5,,"Craziest shit I’ve ever seen and nothing comes close. Never runs out of ideas, no matter how weird or messed up they are",,2025-06-06
2025-06-09,Ordinary People,1980,https://boxd.it/9WNuI5,4,,"Nothing but powerhouse performances, a bit melodramatic.",,2025-06-08
2025-06-09,The Elephant Man,1980,https://boxd.it/9WSgjF,3.5,,"John Hurt can barely move and gives the most genuine performance I’ve ever seen, every line got me tearing up.",,2025-06-09
2025-06-12,Paths of Glory,1957,https://boxd.it/9YEcEf,4,,"Good to know people in power sucked just as much back then, all in different, terrible ways too",,2025-06-12
2025-06-13,Scanners,1981,https://boxd.it/9Z1Ipx,2.5,,"Main actor can’t go through 2 lines sounding believable, guy is awful. Music is banging though",,2025-06-12
2025-06-13,Whisper of the Heart,1995,https://boxd.it/9Z9Lzr,3.5,,Did the Leo pointing at the screen when Lofi Girl showed up,,2025-06-12
2025-06-17,The Insider,1999,https://boxd.it/a1U78d,3.5,,Christopher Plummer’s acting so good he beat out my hate for corporate characters,,2025-06-16
2025-06-17,Sherlock Jr.,1924,https://boxd.it/a1WJG7,3,,"Everyone thank this for inspiring peak movie, Hundreds of Beavers",,2025-06-17
2025-06-18,American Beauty,1999,https://boxd.it/a2woVn,4,,"Sooooo well made, but a tough watch thats even tougher with Kevin spacey context",,2025-06-18
2025-06-23,Batman: Mask of the Phantasm,1993,https://boxd.it/a5SUb3,3.5,,Batman but he’s a sad boi,,2025-06-23
2025-06-25,Wolfwalkers,2020,https://boxd.it/a6MKP5,4,,Best Irish movie since Sing Street,,2025-06-24
2025-06-25,The Green Mile,1999,https://boxd.it/a7aij9,4.5,,Greatest compliment I can give is that this movie felt shorter than Terror Train (97 minutes),,2025-06-25
2025-06-26,Office Space,1999,https://boxd.it/a7OkWx,3.5,,Little known fact that Milton becomes the Raven from Barry,,2025-06-26
2025-06-27,Trainspotting,1996,https://boxd.it/a86BMP,4,,"Took about 3 minutes to turn on subtitles, I think Spud made up his own language",,2025-06-26
2025-06-27,The Prestige,2006,https://boxd.it/a8oIr1,4.5,,"Officially 0–30 guessing twists, feel personally attacked by Michael Caines narration saying I ain’t looking",,2025-06-27
2025-06-28,But I'm a Cheerleader,1999,https://boxd.it/a8OtQd,3.5,,"Hit or miss comedy, but cared way more about Megan and Graham’s relationship than I thought I would’ve",,2025-06-27
2025-06-29,Once Upon a Time... in Hollywood,2019,https://boxd.it/a9L115,2.5,,Anora: the even worse ending,,2025-06-29
2025-06-30,Go,1999,https://boxd.it/aasRnt,3,,If Gregg Araki made Pulp Fiction,,2025-06-30
2025-07-02,F1,2025,https://boxd.it/abJmBx,4.5,,Kosinski could make a Zamboni race look cool as shit,,2025-07-01
2025-07-02,The Straight Story,1999,https://boxd.it/abNkdr,1,,Felt like driving 2 hours without a car radio,,2025-07-02
2025-07-03,Lightyear,2022,https://boxd.it/acc2Ih,2.5,,"Quality nose dives once the ragtag crew shows up, Sox is more than enough",,2025-07-02
2025-07-05,How to Train Your Dragon,2025,https://boxd.it/adgCdV,3,,"This is 30 minutes longer than the original?? Where though, da credits?",,2025-07-04
2025-07-08,10 Things I Hate About You,1999,https://boxd.it/afYOip,3.5,,That was a really confusing way for Joey to gift Kat a guitar,,2025-07-07
2025-07-09,Say Anything...,1989,https://boxd.it/agqyHf,3,,"First 30 min: wow I haven’t seen a supportive dad in a movie in awhile
Last 30 min: nevermind",,2025-07-08
2025-07-09,The Matrix,1999,https://boxd.it/agIZgr,3.5,,"Oozing style from start to finish, every reflection shot is 10/10",,2025-07-09
2025-07-10,12 Angry Men,1957,https://boxd.it/ahq2C7,4.5,,"Ranking Angry Men:
 #7 No one cares about your baseball game, did help with the fan though 
#10 Racist :(, was the reason for the best scene though 
#1 Ain’t no way you keep everything cordial but have no talking points the entire time??
#2 Gives sidekick energy, called racist man friend 
#12 Loves talking about his corporate job, has a nice story arch though
#5 Mid tier, gonna be the only one I forget from this movie 
#3 Maybe beats son :(, but has the best performance by far (So angry) 
#8 Observant about glasses, very cute grandpa 
#7 Likes to say “I don’t know”, but is the reason for the movie 
#6 Want to grab a beer with him, has my favorite line of the movie 
#4 Maybe sweats?, convinced this is how my rationale would go if I was there 
#11 goated, tells baseball man he sucks :)",,2025-07-10
2025-07-11,Superman,2025,https://boxd.it/ahMpH9,4,,Wait Superman is supposed to be portrayed like a human??? Thought Snyder told me he was a heartless god,,2025-07-10
2025-07-11,In Time,2011,https://boxd.it/ai2rmT,2.5,Yes,The 1v1 “fight” scene with the minutemen is so dumb and funny,,2025-07-10
2025-07-14,"Mystery, Alaska",1999,https://boxd.it/aksAZZ,3,,Man I wish Alaska was real,,2025-07-13
2025-07-15,Frankie Freako,2024,https://boxd.it/alb4yR,0.5,,My dad is banned from picking movies for awhile,,2025-07-14
2025-07-15,The Ox-Bow Incident,1943,https://boxd.it/alfk6n,3.5,,12 Angry Men: the bad ending.,,2025-07-14
2025-07-16,My Big Fat Greek Wedding,2002,https://boxd.it/alLcpv,3,,Aunt Voula top 10 character ever written,,2025-07-15
2025-07-17,Yor: The Hunter from the Future,1983,https://boxd.it/amg4e7,1.5,,I feel like Dom watching this many bad movies,,2025-07-16
2025-07-19,City of God,2002,https://boxd.it/anSl8v,4,,"Benny so goated not only did I not care he stole the main character’s girl, Rocket didn’t either",,2025-07-18
2025-07-20,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/aonevf,3,,All cause a general had weird sex,,2025-07-19
